"f_file","q_file","K_detected","n_inds","K_from_name","ok"
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-15_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-16_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-17_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-18_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-19_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-2_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-20_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-3_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-4_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-5_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-6_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-7_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-8_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K3-9_f",NA,NA,NA,3,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-1_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-10_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-11_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-12_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-13_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-14_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-15_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-16_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-17_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-18_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-19_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-2_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-20_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-3_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-4_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-5_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-6_f",NA,NA,NA,4,FALSE
"/Users/zacharygagnon/Desktop/BeechCode/data/structure/HEG_ZG_run2/STRUCTURE_main_final_278_HEG_ZG-K4-7_f",NA,NA,NA,4,FALSE
